127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.073571
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.078026
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000654
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.080902
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.086438
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.115842
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.093012
127.0.0.1, 2018-04-22 12:38:48, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.029426
127.0.0.1, 2018-04-22 12:38:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2018-04-22 12:56:00, GET, /start/cats/onechi, HTTP/1.1, 200, 0.040445
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000629
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001870
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000660
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000614
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002440
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000641
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000563
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000854
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001431
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000977
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000662
127.0.0.1, 2018-04-22 12:56:00, GET, /start/cats/static/chi1.jpg, HTTP/1.1, 404, 0.041702
127.0.0.1, 2018-04-22 12:56:00, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000647
127.0.0.1, 2018-04-22 12:56:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000516
127.0.0.1, 2018-04-22 12:57:38, GET, /start/cats/onechi, HTTP/1.1, 200, 0.031949
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000627
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000623
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000587
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000821
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000545
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000573
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000635
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000620
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000603
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000711
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000635
127.0.0.1, 2018-04-22 12:57:38, GET, /start/static/images/chi1.jpg, HTTP/1.1, 404, 0.000500
127.0.0.1, 2018-04-22 12:57:39, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000590
127.0.0.1, 2018-04-22 12:57:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
127.0.0.1, 2018-04-22 12:59:23, GET, /start/cats/onechi, HTTP/1.1, 200, 0.101870
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000721
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000780
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000599
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000629
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001234
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000618
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001689
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000641
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000695
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.043703
127.0.0.1, 2018-04-22 12:59:23, GET, /start/static/images/background.jpg, HTTP/1.1, 200, 0.012449
127.0.0.1, 2018-04-22 12:59:24, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000638
127.0.0.1, 2018-04-22 12:59:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000388
127.0.0.1, 2018-04-22 13:07:40, GET, /start/cats/onechi, HTTP/1.1, 200, 0.040072
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000723
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000653
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000679
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000691
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000874
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000598
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000893
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000647
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001183
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000668
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000542
127.0.0.1, 2018-04-22 13:07:40, GET, /start/static/images/background.jpg, HTTP/1.1, 200, 0.000739
127.0.0.1, 2018-04-22 13:07:41, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000725
127.0.0.1, 2018-04-22 13:07:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000406
127.0.0.1, 2018-04-22 13:07:42, GET, /start/cats/onechi, HTTP/1.1, 200, 0.038520
